Subject	TrialLearn	TrialTest	Condition	Correct	SRPE	RTlearn	RTrecog	RTcertain	Hit	Certainty	LearnChosenInOptions	TestChosenInOptions	TestChosenAltOption	TestChosenNoOption	Rechosen
2	49	44	2	1	0.5	7543	1713	1519	1	4	1	1	0	0	1
2	47	42	2	0	-0.5	5556	7865	2203	1	2	1	1	0	0	0
2	28	21	1	1	0	2779	4688	1353	1	2	1	1	0	0	1
2	3	6	4	0	-0.25	4063	4144	2210	1	4	1	1	0	0	0
2	30	28	4	1	0.75	7523	4131	1577	1	3	1	1	0	0	1
2	20	12	4	0	-0.25	3407	14563	2132	1	1	1	1	0	0	0
2	33	40	1	1	0	3418	6779	2134	1	2	1	1	0	0	1
2	14	19	2	0	-0.5	4546	5701	3366	1	2	1	1	0	0	0
2	11	14	1	1	0	3170	4905	2430	1	3	1	1	0	0	1
2	50	49	4	0	-0.25	5207	18811	883	1	4	1	1	0	0	0
2	15	15	1	1	0	2659	11894	1368	0	1	1	0	0	1	0
2	9	9	4	0	-0.25	4770	8208	1570	1	4	1	1	0	0	0
2	13	20	1	1	0	4363	3232	2135	1	3	1	1	0	0	1
2	18	13	1	1	0	2808	6892	1773	1	2	1	1	0	0	1
2	56	59	2	0	-0.5	5505	3446	2042	1	4	1	1	0	0	0
2	60	57	4	1	0.75	4464	5393	1118	1	4	1	1	0	0	1
2	40	33	2	1	0.5	5079	2763	1907	1	3	1	1	0	0	1
2	10	5	4	0	-0.25	5901	4905	1585	1	3	1	1	0	0	0
2	31	34	2	0	-0.5	4257	9993	2504	1	1	1	1	0	0	0
2	19	18	1	1	0	2870	3990	1939	1	3	1	1	0	0	1
2	41	47	4	1	0.75	3218	5266	706	1	2	1	1	0	0	1
2	8	2	1	1	0	2307	3982	1851	1	4	1	1	0	0	1
2	1	10	4	0	-0.25	2321	29504	1712	1	1	1	1	0	0	0
2	53	51	1	1	0	6751	5525	672	1	4	1	1	0	0	1
2	6	1	1	1	0	4157	7424	2716	1	3	1	1	0	0	1
2	57	58	1	1	0	6263	4823	671	1	4	1	1	0	0	1
2	27	25	2	1	0.5	3359	3635	4083	1	4	1	1	0	0	1
2	12	11	4	1	0.75	4174	15107	877	1	1	1	1	0	0	1
2	23	27	2	1	0.5	6080	7879	2068	1	2	1	1	0	0	1
2	59	55	2	1	0.5	3949	5451	1551	1	3	1	1	0	0	1
2	16	16	4	0	-0.25	7219	26001	932	1	1	1	1	0	0	0
2	17	17	4	0	-0.25	5375	11505	2681	1	2	1	1	0	0	0
2	37	38	1	1	0	5062	2897	1198	1	4	1	1	0	0	1
3	45	50	4	1	0.75	1421	2390	1377	1	4	1	1	0	0	1
3	14	19	2	0	-0.5	3315	12850	2851	0	1	1	1	1	0	1
3	2	8	4	0	-0.25	3655	12755	736	0	3	1	1	1	0	0
3	40	33	4	0	-0.25	3334	4752	705	1	2	1	1	0	0	0
3	37	34	4	1	0.75	10155	3651	709	1	4	1	1	0	0	1
3	47	46	2	0	-0.5	6208	6231	196	1	3	1	1	0	0	0
3	53	51	2	0	-0.5	3079	15239	470	0	2	1	0	0	1	0
3	36	38	2	1	0.5	2961	9323	1176	1	2	1	1	0	0	1
3	27	23	4	0	-0.25	7680	3777	286	1	4	1	1	0	0	0
3	12	20	1	1	0	1520	5076	358	1	3	1	1	0	0	1
3	42	44	2	0	-0.5	12719	5036	705	1	2	1	1	0	0	0
3	33	35	2	0	-0.5	10526	2559	1831	1	4	1	1	0	0	0
3	48	43	1	1	0	1708	5882	967	1	2	1	1	0	0	1
3	55	56	2	0	-0.5	4043	3778	575	1	3	1	1	0	0	0
3	11	17	4	0	-0.25	5705	14274	2125	0	1	1	1	1	0	1
3	34	36	1	1	0	1867	5830	1490	1	3	1	1	0	0	1
3	10	6	1	1	0	2322	6223	833	1	2	1	1	0	0	1
3	31	32	1	1	0	2281	6273	358	1	3	1	1	0	0	1
3	41	42	2	1	0.5	6617	2601	1249	1	4	1	1	0	0	1
3	16	18	1	1	0	1356	3793	433	1	3	1	1	0	0	1
3	35	31	4	0	-0.25	4231	7003	1400	0	2	1	1	1	0	0
3	50	47	1	1	0	1751	7445	535	1	2	1	1	0	0	1
3	4	4	1	1	0	1226	2509	867	1	4	1	1	0	0	1
3	43	41	4	0	-0.25	2341	6056	1247	1	2	1	1	0	0	0
3	26	27	2	1	0.5	2421	11288	734	1	2	1	1	0	0	1
3	5	10	2	0	-0.5	2632	1405	458	1	4	1	1	0	0	0
3	8	3	4	0	-0.25	2791	3455	1192	1	3	1	1	0	0	0
3	24	30	4	0	-0.25	1679	3604	299	1	4	1	1	0	0	0
3	57	58	1	1	0	1589	3847	721	0	3	1	0	0	1	0
3	22	28	1	1	0	2670	7903	1555	1	2	1	1	0	0	1
3	19	13	2	1	0.5	1516	3669	2231	1	3	1	1	0	0	1
